Comment,Designator,Footprint,LCSC Part Number
75V 500mW 1V@10mA 4ns 200mA LL-34  Switching Diode ROHS,D1,,C435829
"2.54mm Plugin 3A 3P -40?~+105? Shrouded 1x3P side 8.5mm Square Holes Push-Pull,P=2.54mm  Female Headers ROHS",J1,,C2897385
"3A Shrouded Square Pins 2.54mm 3P 6mm 2.54mm Plugin 1x3P Push-Pull,P=2.54mm  Pin Headers ROHS",J3,,C2935928
-  Raspberry Pi ROHS,U7,,C7203002
triple-pole/single-throw Plugin Slide Switches ROHS,S1,,C393948 
16V 100nF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C9 C4 C11 C3 C8 C1 C12 C6 C7 C2 C10 C5,0402,C344190
1.08V~5.5V 4 200Mbps 1.08V~5.5V TSSOP-14  Translators / Level Shifters ROHS,U2 U5 U4 U3 U6 U1,,C2938871
"Gold 3A Shrouded Square Pins 2.54mm 32P 6mm -55?~+105? 2.54mm ?? Black Brass 2x16P 2.54mm Push-Pull,P=2.54mm  Pin Headers ROHS",J2,,C97095
62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 100k? 0402 Chip Resistor - Surface Mount ROHS,R1,0402,C60491
62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 8.2k? 0402 Chip Resistor - Surface Mount ROHS,R2,0402,C409707
